Optimization Iteration:      1, Training Accuracy:  30.1%, Validation Accuracy:  15.4% 
Optimization Iteration:      2, Training Accuracy:  30.5%, Validation Accuracy:  15.6% 
Optimization Iteration:      3, Training Accuracy:  32.0%, Validation Accuracy:  16.2% 
Optimization Iteration:      4, Training Accuracy:  32.0%, Validation Accuracy:  16.4% 
Optimization Iteration:      5, Training Accuracy:  34.0%, Validation Accuracy:  16.8% 
Optimization Iteration:      6, Training Accuracy:  36.7%, Validation Accuracy:  15.4% 
Optimization Iteration:      7, Training Accuracy:  36.7%, Validation Accuracy:  14.3% 
Optimization Iteration:      8, Training Accuracy:  36.7%, Validation Accuracy:  13.5% 
Optimization Iteration:      9, Training Accuracy:  35.9%, Validation Accuracy:  12.3% 
Optimization Iteration:     10, Training Accuracy:  35.2%, Validation Accuracy:  10.3% 
Optimization Iteration:     11, Training Accuracy:  37.5%, Validation Accuracy:  10.5% 
Optimization Iteration:     12, Training Accuracy:  36.7%, Validation Accuracy:   9.5% 
Optimization Iteration:     13, Training Accuracy:  34.4%, Validation Accuracy:   9.3% 
Optimization Iteration:     14, Training Accuracy:  34.8%, Validation Accuracy:   8.9% 
Optimization Iteration:     15, Training Accuracy:  34.0%, Validation Accuracy:   9.3% 
Optimization Iteration:     16, Training Accuracy:  32.4%, Validation Accuracy:   9.5% 
Optimization Iteration:     17, Training Accuracy:  32.8%, Validation Accuracy:   9.9% 
Optimization Iteration:     18, Training Accuracy:  31.6%, Validation Accuracy:   9.9% 
Optimization Iteration:     19, Training Accuracy:  32.0%, Validation Accuracy:   9.9% 
Optimization Iteration:     20, Training Accuracy:  32.4%, Validation Accuracy:  10.1% 
Optimization Iteration:     21, Training Accuracy:  34.4%, Validation Accuracy:  10.7% 
Optimization Iteration:     22, Training Accuracy:  35.2%, Validation Accuracy:  11.3% 
Optimization Iteration:     23, Training Accuracy:  36.7%, Validation Accuracy:  12.5% 
Optimization Iteration:     24, Training Accuracy:  37.1%, Validation Accuracy:  12.3% 
Optimization Iteration:     25, Training Accuracy:  37.1%, Validation Accuracy:  12.7% 
Optimization Iteration:     26, Training Accuracy:  39.1%, Validation Accuracy:  12.7% 
Optimization Iteration:     27, Training Accuracy:  41.0%, Validation Accuracy:  12.7% 
Optimization Iteration:     28, Training Accuracy:  42.2%, Validation Accuracy:  13.5% 
Optimization Iteration:     29, Training Accuracy:  40.6%, Validation Accuracy:  13.9% 
Optimization Iteration:     30, Training Accuracy:  40.6%, Validation Accuracy:  13.7% 
Optimization Iteration:     31, Training Accuracy:  41.8%, Validation Accuracy:  14.1% 
Optimization Iteration:     32, Training Accuracy:  41.4%, Validation Accuracy:  14.3% 
Optimization Iteration:     33, Training Accuracy:  39.5%, Validation Accuracy:  16.0% 
Optimization Iteration:     34, Training Accuracy:  40.2%, Validation Accuracy:  18.4% 
Optimization Iteration:     35, Training Accuracy:  39.8%, Validation Accuracy:  21.0% 
Optimization Iteration:     36, Training Accuracy:  39.8%, Validation Accuracy:  24.8% 
Optimization Iteration:     37, Training Accuracy:  42.6%, Validation Accuracy:  25.9% 
Optimization Iteration:     38, Training Accuracy:  43.8%, Validation Accuracy:  28.9% 
Optimization Iteration:     39, Training Accuracy:  41.8%, Validation Accuracy:  31.7% 
Optimization Iteration:     40, Training Accuracy:  42.2%, Validation Accuracy:  35.2% 
Optimization Iteration:     41, Training Accuracy:  41.4%, Validation Accuracy:  37.8% 
Optimization Iteration:     42, Training Accuracy:  39.8%, Validation Accuracy:  39.6% 
Optimization Iteration:     43, Training Accuracy:  39.1%, Validation Accuracy:  41.6% 
Optimization Iteration:     44, Training Accuracy:  38.7%, Validation Accuracy:  41.2% 
Optimization Iteration:     45, Training Accuracy:  38.7%, Validation Accuracy:  39.2% 
Optimization Iteration:     46, Training Accuracy:  37.5%, Validation Accuracy:  36.0% 
Optimization Iteration:     47, Training Accuracy:  38.7%, Validation Accuracy:  32.5% 
Optimization Iteration:     48, Training Accuracy:  36.7%, Validation Accuracy:  31.3% 
Optimization Iteration:     49, Training Accuracy:  41.0%, Validation Accuracy:  30.1% 
Optimization Iteration:     50, Training Accuracy:  39.8%, Validation Accuracy:  28.9% 
Optimization Iteration:     51, Training Accuracy:  39.5%, Validation Accuracy:  27.1% 
Optimization Iteration:     52, Training Accuracy:  37.5%, Validation Accuracy:  25.7% 
Optimization Iteration:     53, Training Accuracy:  37.5%, Validation Accuracy:  25.3% 
Optimization Iteration:     54, Training Accuracy:  41.8%, Validation Accuracy:  23.8% 
Optimization Iteration:     55, Training Accuracy:  41.4%, Validation Accuracy:  23.4% 
Optimization Iteration:     56, Training Accuracy:  42.6%, Validation Accuracy:  23.2% 
Optimization Iteration:     57, Training Accuracy:  46.1%, Validation Accuracy:  23.4% 
Optimization Iteration:     58, Training Accuracy:  46.1%, Validation Accuracy:  23.6% 
Optimization Iteration:     59, Training Accuracy:  46.9%, Validation Accuracy:  24.4% 
Optimization Iteration:     60, Training Accuracy:  45.7%, Validation Accuracy:  24.6% 
Optimization Iteration:     61, Training Accuracy:  47.3%, Validation Accuracy:  25.1% 
Optimization Iteration:     62, Training Accuracy:  48.8%, Validation Accuracy:  26.1% 
Optimization Iteration:     63, Training Accuracy:  48.8%, Validation Accuracy:  25.7% 
Optimization Iteration:     64, Training Accuracy:  49.2%, Validation Accuracy:  26.3% 
Optimization Iteration:     65, Training Accuracy:  49.6%, Validation Accuracy:  25.9% 
Optimization Iteration:     66, Training Accuracy:  48.8%, Validation Accuracy:  25.9% 
Optimization Iteration:     67, Training Accuracy:  48.4%, Validation Accuracy:  26.7% 
Optimization Iteration:     68, Training Accuracy:  48.8%, Validation Accuracy:  26.7% 
Optimization Iteration:     69, Training Accuracy:  49.2%, Validation Accuracy:  26.9% 
Optimization Iteration:     70, Training Accuracy:  49.2%, Validation Accuracy:  27.3% 
Optimization Iteration:     71, Training Accuracy:  50.4%, Validation Accuracy:  27.3% 
Optimization Iteration:     72, Training Accuracy:  50.8%, Validation Accuracy:  27.1% 
Optimization Iteration:     73, Training Accuracy:  50.4%, Validation Accuracy:  26.9% 
Optimization Iteration:     74, Training Accuracy:  50.8%, Validation Accuracy:  27.1% 
Optimization Iteration:     75, Training Accuracy:  52.0%, Validation Accuracy:  26.9% 
Optimization Iteration:     76, Training Accuracy:  52.0%, Validation Accuracy:  26.9% 
Optimization Iteration:     77, Training Accuracy:  52.3%, Validation Accuracy:  26.5% 
Optimization Iteration:     78, Training Accuracy:  52.7%, Validation Accuracy:  27.1% 
Optimization Iteration:     79, Training Accuracy:  52.0%, Validation Accuracy:  26.9% 
Optimization Iteration:     80, Training Accuracy:  52.3%, Validation Accuracy:  27.1% 
Optimization Iteration:     81, Training Accuracy:  51.6%, Validation Accuracy:  26.9% 
Optimization Iteration:     82, Training Accuracy:  52.3%, Validation Accuracy:  27.1% 
Optimization Iteration:     83, Training Accuracy:  52.7%, Validation Accuracy:  26.9% 
Optimization Iteration:     84, Training Accuracy:  52.7%, Validation Accuracy:  27.1% 
Optimization Iteration:     85, Training Accuracy:  52.3%, Validation Accuracy:  27.5% 
Optimization Iteration:     86, Training Accuracy:  53.5%, Validation Accuracy:  27.5% 
Optimization Iteration:     87, Training Accuracy:  53.9%, Validation Accuracy:  28.1% 
Optimization Iteration:     88, Training Accuracy:  53.9%, Validation Accuracy:  28.1% 
Optimization Iteration:     89, Training Accuracy:  54.3%, Validation Accuracy:  28.1% 
Optimization Iteration:     90, Training Accuracy:  55.1%, Validation Accuracy:  28.5% 
Optimization Iteration:     91, Training Accuracy:  54.3%, Validation Accuracy:  28.7% 
Optimization Iteration:     92, Training Accuracy:  55.5%, Validation Accuracy:  28.9% 
Optimization Iteration:     93, Training Accuracy:  55.1%, Validation Accuracy:  29.3% 
Optimization Iteration:     94, Training Accuracy:  55.5%, Validation Accuracy:  30.1% 
Optimization Iteration:     95, Training Accuracy:  55.1%, Validation Accuracy:  29.7% 
Optimization Iteration:     96, Training Accuracy:  56.2%, Validation Accuracy:  29.5% 
Optimization Iteration:     97, Training Accuracy:  57.8%, Validation Accuracy:  29.5% 
Optimization Iteration:     98, Training Accuracy:  57.0%, Validation Accuracy:  29.5% 
Optimization Iteration:     99, Training Accuracy:  57.0%, Validation Accuracy:  29.5% 
Optimization Iteration:    100, Training Accuracy:  57.4%, Validation Accuracy:  29.7% 
Optimization Iteration:    101, Training Accuracy:  56.6%, Validation Accuracy:  29.7% 
Optimization Iteration:    102, Training Accuracy:  56.6%, Validation Accuracy:  29.3% 
Optimization Iteration:    103, Training Accuracy:  57.0%, Validation Accuracy:  29.5% 
Optimization Iteration:    104, Training Accuracy:  57.0%, Validation Accuracy:  29.7% 
Optimization Iteration:    105, Training Accuracy:  57.4%, Validation Accuracy:  29.7% 
Optimization Iteration:    106, Training Accuracy:  57.8%, Validation Accuracy:  29.5% 
Optimization Iteration:    107, Training Accuracy:  57.4%, Validation Accuracy:  29.5% 
