Optimization Iteration:      1, Training Accuracy:  36.7%, Validation Accuracy:  38.8% 
Optimization Iteration:    101, Training Accuracy:  63.3%, Validation Accuracy:  62.4% 
Optimization Iteration:    201, Training Accuracy:  75.8%, Validation Accuracy:  63.4% 
Optimization Iteration:    301, Training Accuracy:  77.7%, Validation Accuracy:  63.0% 
Optimization Iteration:    401, Training Accuracy:  80.5%, Validation Accuracy:  62.6% 
Optimization Iteration:    501, Training Accuracy:  84.0%, Validation Accuracy:  64.2% 
Optimization Iteration:    601, Training Accuracy:  89.5%, Validation Accuracy:  63.2% 
Optimization Iteration:    701, Training Accuracy:  93.0%, Validation Accuracy:  61.8% 
Optimization Iteration:    801, Training Accuracy:  94.1%, Validation Accuracy:  61.4% 
Optimization Iteration:    901, Training Accuracy:  94.9%, Validation Accuracy:  61.0% 
Optimization Iteration:   1001, Training Accuracy:  95.3%, Validation Accuracy:  62.6% 
Optimization Iteration:   1101, Training Accuracy:  96.1%, Validation Accuracy:  62.0% 
Optimization Iteration:   1201, Training Accuracy:  96.5%, Validation Accuracy:  61.8% 
Optimization Iteration:   1301, Training Accuracy:  97.3%, Validation Accuracy:  62.4% 
Optimization Iteration:   1401, Training Accuracy:  98.0%, Validation Accuracy:  62.0% 
Optimization Iteration:   1501, Training Accuracy:  98.0%, Validation Accuracy:  63.8% 
Optimization Iteration:   1601, Training Accuracy:  98.4%, Validation Accuracy:  63.6% 
Optimization Iteration:   1701, Training Accuracy:  99.6%, Validation Accuracy:  63.2% 
Optimization Iteration:   1801, Training Accuracy: 100.0%, Validation Accuracy:  64.6% 
Optimization Iteration:   1901, Training Accuracy: 100.0%, Validation Accuracy:  64.8% 
Optimization Iteration:   2001, Training Accuracy: 100.0%, Validation Accuracy:  63.6% 
Optimization Iteration:   2101, Training Accuracy: 100.0%, Validation Accuracy:  65.3% 
Optimization Iteration:   2201, Training Accuracy: 100.0%, Validation Accuracy:  65.7% 
Optimization Iteration:   2301, Training Accuracy: 100.0%, Validation Accuracy:  66.3% 
Optimization Iteration:   2401, Training Accuracy: 100.0%, Validation Accuracy:  66.9% 
Optimization Iteration:   2501, Training Accuracy: 100.0%, Validation Accuracy:  65.7% 
Optimization Iteration:   2601, Training Accuracy: 100.0%, Validation Accuracy:  66.1% 
Optimization Iteration:   2701, Training Accuracy: 100.0%, Validation Accuracy:  66.5% 
Optimization Iteration:   2801, Training Accuracy: 100.0%, Validation Accuracy:  66.1% 
Optimization Iteration:   2901, Training Accuracy: 100.0%, Validation Accuracy:  65.1% 
Optimization Iteration:   3001, Training Accuracy: 100.0%, Validation Accuracy:  65.1% 
Optimization Iteration:   3101, Training Accuracy: 100.0%, Validation Accuracy:  65.9% 
Optimization Iteration:   3201, Training Accuracy: 100.0%, Validation Accuracy:  65.3% 
Optimization Iteration:   3301, Training Accuracy: 100.0%, Validation Accuracy:  65.5% 
Optimization Iteration:   3401, Training Accuracy: 100.0%, Validation Accuracy:  65.3% 
Optimization Iteration:   3501, Training Accuracy: 100.0%, Validation Accuracy:  65.1% 
Optimization Iteration:   3601, Training Accuracy: 100.0%, Validation Accuracy:  65.9% 
Optimization Iteration:   3701, Training Accuracy: 100.0%, Validation Accuracy:  65.3% 
Optimization Iteration:   3801, Training Accuracy: 100.0%, Validation Accuracy:  65.3% 
Optimization Iteration:   3901, Training Accuracy: 100.0%, Validation Accuracy:  65.9% 
Optimization Iteration:   4001, Training Accuracy: 100.0%, Validation Accuracy:  66.1% 
Optimization Iteration:   4101, Training Accuracy: 100.0%, Validation Accuracy:  65.9% 
Optimization Iteration:   4201, Training Accuracy: 100.0%, Validation Accuracy:  65.9% 
Optimization Iteration:   4301, Training Accuracy: 100.0%, Validation Accuracy:  65.3% 
Optimization Iteration:   4401, Training Accuracy: 100.0%, Validation Accuracy:  65.7% 
Optimization Iteration:   4501, Training Accuracy: 100.0%, Validation Accuracy:  65.9% 
Optimization Iteration:   4601, Training Accuracy: 100.0%, Validation Accuracy:  65.5% 
Optimization Iteration:   4701, Training Accuracy: 100.0%, Validation Accuracy:  65.7% 
Optimization Iteration:   4801, Training Accuracy: 100.0%, Validation Accuracy:  66.1% 
Optimization Iteration:   4901, Training Accuracy: 100.0%, Validation Accuracy:  66.1% 
