Optimization Iteration:      1, Training Accuracy:  21.9%, Validation Accuracy:  31.3% 
Optimization Iteration:      2, Training Accuracy:  21.9%, Validation Accuracy:  10.5% 
Optimization Iteration:      3, Training Accuracy:  23.8%, Validation Accuracy:  14.7% 
Optimization Iteration:      4, Training Accuracy:  50.8%, Validation Accuracy:  70.1% 
Optimization Iteration:      5, Training Accuracy:  46.5%, Validation Accuracy:  75.6% 
Optimization Iteration:      6, Training Accuracy:  34.8%, Validation Accuracy:  34.1% 
Optimization Iteration:      7, Training Accuracy:  30.1%, Validation Accuracy:  16.6% 
Optimization Iteration:      8, Training Accuracy:  30.5%, Validation Accuracy:  17.4% 
Optimization Iteration:      9, Training Accuracy:  43.4%, Validation Accuracy:  40.4% 
Optimization Iteration:     10, Training Accuracy:  56.6%, Validation Accuracy:  72.3% 
Optimization Iteration:     11, Training Accuracy:  48.4%, Validation Accuracy:  75.8% 
Optimization Iteration:     12, Training Accuracy:  48.8%, Validation Accuracy:  75.8% 
Optimization Iteration:     13, Training Accuracy:  56.6%, Validation Accuracy:  76.4% 
Optimization Iteration:     14, Training Accuracy:  52.3%, Validation Accuracy:  48.9% 
Optimization Iteration:     15, Training Accuracy:  37.5%, Validation Accuracy:  23.8% 
Optimization Iteration:     16, Training Accuracy:  40.6%, Validation Accuracy:  24.0% 
Optimization Iteration:     17, Training Accuracy:  54.3%, Validation Accuracy:  46.1% 
Optimization Iteration:     18, Training Accuracy:  70.7%, Validation Accuracy:  69.7% 
Optimization Iteration:     19, Training Accuracy:  62.5%, Validation Accuracy:  75.4% 
Optimization Iteration:     20, Training Accuracy:  58.2%, Validation Accuracy:  73.5% 
Optimization Iteration:     21, Training Accuracy:  59.4%, Validation Accuracy:  71.9% 
Optimization Iteration:     22, Training Accuracy:  59.4%, Validation Accuracy:  67.7% 
Optimization Iteration:     23, Training Accuracy:  57.8%, Validation Accuracy:  59.0% 
Optimization Iteration:     24, Training Accuracy:  56.6%, Validation Accuracy:  53.9% 
Optimization Iteration:     25, Training Accuracy:  58.2%, Validation Accuracy:  52.1% 
Optimization Iteration:     26, Training Accuracy:  64.5%, Validation Accuracy:  58.6% 
Optimization Iteration:     27, Training Accuracy:  74.6%, Validation Accuracy:  64.2% 
Optimization Iteration:     28, Training Accuracy:  72.3%, Validation Accuracy:  69.9% 
Optimization Iteration:     29, Training Accuracy:  73.0%, Validation Accuracy:  73.1% 
Optimization Iteration:     30, Training Accuracy:  73.0%, Validation Accuracy:  74.1% 
Optimization Iteration:     31, Training Accuracy:  72.3%, Validation Accuracy:  74.9% 
Optimization Iteration:     32, Training Accuracy:  75.4%, Validation Accuracy:  77.2% 
Optimization Iteration:     33, Training Accuracy:  74.6%, Validation Accuracy:  79.8% 
Optimization Iteration:     34, Training Accuracy:  75.0%, Validation Accuracy:  76.8% 
Optimization Iteration:     35, Training Accuracy:  73.4%, Validation Accuracy:  69.9% 
Optimization Iteration:     36, Training Accuracy:  73.8%, Validation Accuracy:  64.8% 
Optimization Iteration:     37, Training Accuracy:  70.7%, Validation Accuracy:  62.2% 
Optimization Iteration:     38, Training Accuracy:  70.3%, Validation Accuracy:  63.4% 
Optimization Iteration:     39, Training Accuracy:  69.9%, Validation Accuracy:  68.5% 
Optimization Iteration:     40, Training Accuracy:  69.1%, Validation Accuracy:  73.5% 
Optimization Iteration:     41, Training Accuracy:  72.7%, Validation Accuracy:  78.6% 
Optimization Iteration:     42, Training Accuracy:  75.4%, Validation Accuracy:  78.4% 
Optimization Iteration:     43, Training Accuracy:  76.6%, Validation Accuracy:  77.4% 
Optimization Iteration:     44, Training Accuracy:  78.1%, Validation Accuracy:  76.2% 
Optimization Iteration:     45, Training Accuracy:  78.5%, Validation Accuracy:  75.2% 
Optimization Iteration:     46, Training Accuracy:  78.1%, Validation Accuracy:  74.9% 
Optimization Iteration:     47, Training Accuracy:  78.9%, Validation Accuracy:  75.4% 
Optimization Iteration:     48, Training Accuracy:  78.1%, Validation Accuracy:  75.4% 
Optimization Iteration:     49, Training Accuracy:  77.0%, Validation Accuracy:  75.8% 
Optimization Iteration:     50, Training Accuracy:  77.0%, Validation Accuracy:  76.2% 
Optimization Iteration:     51, Training Accuracy:  75.8%, Validation Accuracy:  75.4% 
Optimization Iteration:     52, Training Accuracy:  75.8%, Validation Accuracy:  73.9% 
Optimization Iteration:     53, Training Accuracy:  77.0%, Validation Accuracy:  73.3% 
Optimization Iteration:     54, Training Accuracy:  77.7%, Validation Accuracy:  73.7% 
