Optimization Iteration:      1, Training Accuracy:   0.0%, Validation Accuracy:   0.0% 
Optimization Iteration:    671, Training Accuracy: 100.0%, Validation Accuracy:  73.1% 
Optimization Iteration:    681, Training Accuracy: 100.0%, Validation Accuracy:  73.1% 
Optimization Iteration:    691, Training Accuracy: 100.0%, Validation Accuracy:  74.1% 
Optimization Iteration:    701, Training Accuracy: 100.0%, Validation Accuracy:  73.5% 
Optimization Iteration:    711, Training Accuracy: 100.0%, Validation Accuracy:  73.7% 
Optimization Iteration:    721, Training Accuracy: 100.0%, Validation Accuracy:  72.9% 
Optimization Iteration:    731, Training Accuracy: 100.0%, Validation Accuracy:  73.5% 
Optimization Iteration:    741, Training Accuracy: 100.0%, Validation Accuracy:  73.5% 
Optimization Iteration:    751, Training Accuracy: 100.0%, Validation Accuracy:  73.5% 
Optimization Iteration:    761, Training Accuracy: 100.0%, Validation Accuracy:  73.3% 
Optimization Iteration:    771, Training Accuracy: 100.0%, Validation Accuracy:  73.1% 
Optimization Iteration:    781, Training Accuracy: 100.0%, Validation Accuracy:  72.7% 
Optimization Iteration:    791, Training Accuracy: 100.0%, Validation Accuracy:  73.1% 
Optimization Iteration:    801, Training Accuracy: 100.0%, Validation Accuracy:  73.1% 
Optimization Iteration:    811, Training Accuracy: 100.0%, Validation Accuracy:  73.5% 
Optimization Iteration:    821, Training Accuracy: 100.0%, Validation Accuracy:  72.7% 
Optimization Iteration:    831, Training Accuracy: 100.0%, Validation Accuracy:  72.9% 
Optimization Iteration:    841, Training Accuracy: 100.0%, Validation Accuracy:  73.1% 
Optimization Iteration:    851, Training Accuracy: 100.0%, Validation Accuracy:  73.1% 
Optimization Iteration:    861, Training Accuracy: 100.0%, Validation Accuracy:  72.9% 
Optimization Iteration:    871, Training Accuracy: 100.0%, Validation Accuracy:  73.3% 
Optimization Iteration:    881, Training Accuracy: 100.0%, Validation Accuracy:  72.7% 
Optimization Iteration:    891, Training Accuracy: 100.0%, Validation Accuracy:  73.1% 
Optimization Iteration:    901, Training Accuracy: 100.0%, Validation Accuracy:  72.7% 
Optimization Iteration:    911, Training Accuracy: 100.0%, Validation Accuracy:  73.3% 
Optimization Iteration:    921, Training Accuracy: 100.0%, Validation Accuracy:  72.9% 
Optimization Iteration:    931, Training Accuracy: 100.0%, Validation Accuracy:  72.9% 
Optimization Iteration:    941, Training Accuracy: 100.0%, Validation Accuracy:  72.7% 
Optimization Iteration:    951, Training Accuracy: 100.0%, Validation Accuracy:  72.5% 
Optimization Iteration:    961, Training Accuracy: 100.0%, Validation Accuracy:  72.5% 
Optimization Iteration:    971, Training Accuracy: 100.0%, Validation Accuracy:  72.9% 
Optimization Iteration:    981, Training Accuracy: 100.0%, Validation Accuracy:  72.7% 
Optimization Iteration:    991, Training Accuracy: 100.0%, Validation Accuracy:  72.5% 
