Optimization Iteration:    761, Training Accuracy:  75.4%, Validation Accuracy:  49.6% 
Optimization Iteration:    771, Training Accuracy:  78.5%, Validation Accuracy:  45.2% 
Optimization Iteration:    781, Training Accuracy:  80.1%, Validation Accuracy:  44.0% 
Optimization Iteration:    791, Training Accuracy:  76.2%, Validation Accuracy:  42.6% 
Optimization Iteration:    801, Training Accuracy:  78.1%, Validation Accuracy:  44.8% 
Optimization Iteration:    811, Training Accuracy:  77.7%, Validation Accuracy:  36.1% 
Optimization Iteration:    821, Training Accuracy:  77.0%, Validation Accuracy:  49.0% 
Optimization Iteration:    831, Training Accuracy:  80.1%, Validation Accuracy:  45.2% 
Optimization Iteration:    841, Training Accuracy:  82.0%, Validation Accuracy:  43.2% 
Optimization Iteration:    851, Training Accuracy:  78.1%, Validation Accuracy:  47.6% 
Optimization Iteration:    861, Training Accuracy:  77.7%, Validation Accuracy:  38.2% 
Optimization Iteration:    871, Training Accuracy:  82.4%, Validation Accuracy:  48.4% 
Optimization Iteration:    881, Training Accuracy:  79.7%, Validation Accuracy:  41.8% 
Optimization Iteration:    891, Training Accuracy:  80.1%, Validation Accuracy:  48.4% 
Optimization Iteration:    901, Training Accuracy:  78.1%, Validation Accuracy:  36.3% 
Optimization Iteration:    911, Training Accuracy:  81.6%, Validation Accuracy:  49.4% 
Optimization Iteration:    921, Training Accuracy:  80.1%, Validation Accuracy:  44.4% 
Optimization Iteration:    931, Training Accuracy:  84.4%, Validation Accuracy:  48.8% 
Optimization Iteration:    941, Training Accuracy:  82.0%, Validation Accuracy:  41.0% 
Optimization Iteration:    951, Training Accuracy:  80.1%, Validation Accuracy:  47.8% 
Optimization Iteration:    961, Training Accuracy:  80.1%, Validation Accuracy:  36.5% 
Optimization Iteration:    971, Training Accuracy:  84.8%, Validation Accuracy:  49.0% 
Optimization Iteration:    981, Training Accuracy:  82.4%, Validation Accuracy:  42.0% 
Optimization Iteration:    991, Training Accuracy:  82.8%, Validation Accuracy:  41.4% 
Optimization Iteration:   1001, Training Accuracy:  82.0%, Validation Accuracy:  44.8% 
Optimization Iteration:   1011, Training Accuracy:  82.4%, Validation Accuracy:  40.0% 
Optimization Iteration:   1021, Training Accuracy:  83.6%, Validation Accuracy:  42.6% 
Optimization Iteration:   1031, Training Accuracy:  83.6%, Validation Accuracy:  48.2% 
Optimization Iteration:   1041, Training Accuracy:  82.8%, Validation Accuracy:  44.4% 
Optimization Iteration:   1051, Training Accuracy:  84.8%, Validation Accuracy:  46.4% 
Optimization Iteration:   1061, Training Accuracy:  82.0%, Validation Accuracy:  44.2% 
Optimization Iteration:   1071, Training Accuracy:  82.4%, Validation Accuracy:  36.7% 
Optimization Iteration:   1081, Training Accuracy:  85.5%, Validation Accuracy:  47.6% 
Optimization Iteration:   1091, Training Accuracy:  82.0%, Validation Accuracy:  35.9% 
Optimization Iteration:   1101, Training Accuracy:  84.4%, Validation Accuracy:  42.0% 
Optimization Iteration:   1111, Training Accuracy:  85.9%, Validation Accuracy:  46.0% 
Optimization Iteration:   1121, Training Accuracy:  84.8%, Validation Accuracy:  41.6% 
Optimization Iteration:   1131, Training Accuracy:  84.0%, Validation Accuracy:  44.8% 
Optimization Iteration:   1141, Training Accuracy:  81.6%, Validation Accuracy:  39.4% 
Optimization Iteration:   1151, Training Accuracy:  85.2%, Validation Accuracy:  48.4% 
Optimization Iteration:   1161, Training Accuracy:  86.3%, Validation Accuracy:  47.0% 
Optimization Iteration:   1171, Training Accuracy:  84.4%, Validation Accuracy:  42.6% 
Optimization Iteration:   1181, Training Accuracy:  87.1%, Validation Accuracy:  42.4% 
Optimization Iteration:   1191, Training Accuracy:  85.2%, Validation Accuracy:  44.2% 
Optimization Iteration:   1201, Training Accuracy:  86.3%, Validation Accuracy:  38.4% 
Optimization Iteration:   1211, Training Accuracy:  86.7%, Validation Accuracy:  37.3% 
Optimization Iteration:   1221, Training Accuracy:  82.8%, Validation Accuracy:  45.6% 
Optimization Iteration:   1231, Training Accuracy:  86.3%, Validation Accuracy:  39.8% 
Optimization Iteration:   1241, Training Accuracy:  84.4%, Validation Accuracy:  36.7% 
Optimization Iteration:   1251, Training Accuracy:  88.3%, Validation Accuracy:  45.0% 
Optimization Iteration:   1261, Training Accuracy:  84.0%, Validation Accuracy:  44.0% 
Optimization Iteration:   1271, Training Accuracy:  82.8%, Validation Accuracy:  39.4% 
Optimization Iteration:   1281, Training Accuracy:  89.8%, Validation Accuracy:  49.0% 
Optimization Iteration:   1291, Training Accuracy:  85.2%, Validation Accuracy:  38.0% 
Optimization Iteration:   1301, Training Accuracy:  89.5%, Validation Accuracy:  46.4% 
Optimization Iteration:   1311, Training Accuracy:  87.5%, Validation Accuracy:  38.0% 
Optimization Iteration:   1321, Training Accuracy:  89.8%, Validation Accuracy:  41.2% 
Optimization Iteration:   1331, Training Accuracy:  89.5%, Validation Accuracy:  44.6% 
Optimization Iteration:   1341, Training Accuracy:  86.3%, Validation Accuracy:  41.6% 
Optimization Iteration:   1351, Training Accuracy:  89.5%, Validation Accuracy:  48.2% 
Optimization Iteration:   1361, Training Accuracy:  90.2%, Validation Accuracy:  40.0% 
Optimization Iteration:   1371, Training Accuracy:  90.6%, Validation Accuracy:  39.4% 
Optimization Iteration:   1381, Training Accuracy:  87.5%, Validation Accuracy:  38.0% 
Optimization Iteration:   1391, Training Accuracy:  86.7%, Validation Accuracy:  47.4% 
Optimization Iteration:   1401, Training Accuracy:  85.5%, Validation Accuracy:  35.7% 
Optimization Iteration:   1411, Training Accuracy:  84.8%, Validation Accuracy:  40.6% 
Optimization Iteration:   1421, Training Accuracy:  93.8%, Validation Accuracy:  49.2% 
Optimization Iteration:   1431, Training Accuracy:  85.2%, Validation Accuracy:  33.7% 
Optimization Iteration:   1441, Training Accuracy:  86.7%, Validation Accuracy:  47.0% 
Optimization Iteration:   1451, Training Accuracy:  90.2%, Validation Accuracy:  40.4% 
Optimization Iteration:   1461, Training Accuracy:  89.8%, Validation Accuracy:  41.0% 
Optimization Iteration:   1471, Training Accuracy:  92.2%, Validation Accuracy:  44.6% 
Optimization Iteration:   1481, Training Accuracy:  87.1%, Validation Accuracy:  44.2% 
Optimization Iteration:   1491, Training Accuracy:  86.7%, Validation Accuracy:  42.0% 
Optimization Iteration:   1501, Training Accuracy:  88.3%, Validation Accuracy:  43.0% 
Optimization Iteration:   1511, Training Accuracy:  89.8%, Validation Accuracy:  37.8% 
Optimization Iteration:   1521, Training Accuracy:  89.8%, Validation Accuracy:  43.4% 
Optimization Iteration:   1531, Training Accuracy:  84.8%, Validation Accuracy:  48.2% 
Optimization Iteration:   1541, Training Accuracy:  84.8%, Validation Accuracy:  46.8% 
Optimization Iteration:   1551, Training Accuracy:  88.7%, Validation Accuracy:  43.4% 
Optimization Iteration:   1561, Training Accuracy:  86.7%, Validation Accuracy:  43.0% 
Optimization Iteration:   1571, Training Accuracy:  92.2%, Validation Accuracy:  40.0% 
Optimization Iteration:   1581, Training Accuracy:  91.8%, Validation Accuracy:  40.8% 
Optimization Iteration:   1591, Training Accuracy:  93.8%, Validation Accuracy:  42.8% 
Optimization Iteration:   1601, Training Accuracy:  92.2%, Validation Accuracy:  49.8% 
Optimization Iteration:   1611, Training Accuracy:  87.9%, Validation Accuracy:  43.4% 
Optimization Iteration:   1621, Training Accuracy:  89.1%, Validation Accuracy:  45.4% 
Optimization Iteration:   1631, Training Accuracy:  89.1%, Validation Accuracy:  39.8% 
Optimization Iteration:   1641, Training Accuracy:  92.6%, Validation Accuracy:  43.8% 
Optimization Iteration:   1651, Training Accuracy:  92.6%, Validation Accuracy:  45.0% 
Optimization Iteration:   1661, Training Accuracy:  85.5%, Validation Accuracy:  40.6% 
Optimization Iteration:   1671, Training Accuracy:  94.1%, Validation Accuracy:  46.4% 
Optimization Iteration:   1681, Training Accuracy:  91.0%, Validation Accuracy:  40.4% 
Optimization Iteration:   1691, Training Accuracy:  87.9%, Validation Accuracy:  44.8% 
Optimization Iteration:   1701, Training Accuracy:  85.9%, Validation Accuracy:  41.8% 
Optimization Iteration:   1711, Training Accuracy:  94.9%, Validation Accuracy:  42.0% 
Optimization Iteration:   1721, Training Accuracy:  90.6%, Validation Accuracy:  43.8% 
Optimization Iteration:   1731, Training Accuracy:  94.9%, Validation Accuracy:  42.4% 
Optimization Iteration:   1741, Training Accuracy:  95.3%, Validation Accuracy:  46.4% 
Optimization Iteration:   1751, Training Accuracy:  94.5%, Validation Accuracy:  44.6% 
Optimization Iteration:   1761, Training Accuracy:  94.1%, Validation Accuracy:  42.0% 
Optimization Iteration:   1771, Training Accuracy:  87.5%, Validation Accuracy:  44.4% 
Optimization Iteration:   1781, Training Accuracy:  91.0%, Validation Accuracy:  38.4% 
Optimization Iteration:   1791, Training Accuracy:  93.8%, Validation Accuracy:  40.4% 
Optimization Iteration:   1801, Training Accuracy:  90.2%, Validation Accuracy:  44.6% 
Optimization Iteration:   1811, Training Accuracy:  87.9%, Validation Accuracy:  41.6% 
Optimization Iteration:   1821, Training Accuracy:  90.6%, Validation Accuracy:  43.6% 
Optimization Iteration:   1831, Training Accuracy:  96.1%, Validation Accuracy:  43.4% 
Optimization Iteration:   1841, Training Accuracy:  87.5%, Validation Accuracy:  41.2% 
Optimization Iteration:   1851, Training Accuracy:  93.0%, Validation Accuracy:  45.2% 
Optimization Iteration:   1861, Training Accuracy:  93.4%, Validation Accuracy:  43.2% 
Optimization Iteration:   1871, Training Accuracy:  94.1%, Validation Accuracy:  42.0% 
Optimization Iteration:   1881, Training Accuracy:  94.1%, Validation Accuracy:  41.0% 
Optimization Iteration:   1891, Training Accuracy:  90.2%, Validation Accuracy:  42.6% 
Optimization Iteration:   1901, Training Accuracy:  95.7%, Validation Accuracy:  42.6% 
Optimization Iteration:   1911, Training Accuracy:  94.1%, Validation Accuracy:  46.0% 
Optimization Iteration:   1921, Training Accuracy:  88.7%, Validation Accuracy:  41.2% 
Optimization Iteration:   1931, Training Accuracy:  94.5%, Validation Accuracy:  39.6% 
Optimization Iteration:   1941, Training Accuracy:  88.3%, Validation Accuracy:  36.9% 
Optimization Iteration:   1951, Training Accuracy:  91.8%, Validation Accuracy:  47.4% 
Optimization Iteration:   1961, Training Accuracy:  89.8%, Validation Accuracy:  47.0% 
Optimization Iteration:   1971, Training Accuracy:  87.5%, Validation Accuracy:  38.6% 
Optimization Iteration:   1981, Training Accuracy:  92.6%, Validation Accuracy:  39.2% 
Optimization Iteration:   1991, Training Accuracy:  92.2%, Validation Accuracy:  44.4% 
Optimization Iteration:   2001, Training Accuracy:  89.5%, Validation Accuracy:  44.4% 
Optimization Iteration:   2011, Training Accuracy:  90.2%, Validation Accuracy:  43.4% 
Optimization Iteration:   2021, Training Accuracy:  91.8%, Validation Accuracy:  42.0% 
Optimization Iteration:   2031, Training Accuracy:  93.8%, Validation Accuracy:  44.4% 
Optimization Iteration:   2041, Training Accuracy:  89.8%, Validation Accuracy:  43.4% 
Optimization Iteration:   2051, Training Accuracy:  91.8%, Validation Accuracy:  40.8% 
Optimization Iteration:   2061, Training Accuracy:  89.5%, Validation Accuracy:  43.0% 
Optimization Iteration:   2071, Training Accuracy:  92.2%, Validation Accuracy:  42.4% 
Optimization Iteration:   2081, Training Accuracy:  93.8%, Validation Accuracy:  44.4% 
Optimization Iteration:   2091, Training Accuracy:  88.3%, Validation Accuracy:  47.8% 
Optimization Iteration:   2101, Training Accuracy:  96.5%, Validation Accuracy:  46.0% 
Optimization Iteration:   2111, Training Accuracy:  90.2%, Validation Accuracy:  43.4% 
Optimization Iteration:   2121, Training Accuracy:  95.7%, Validation Accuracy:  43.0% 
Optimization Iteration:   2131, Training Accuracy:  97.3%, Validation Accuracy:  46.4% 
Optimization Iteration:   2141, Training Accuracy:  94.9%, Validation Accuracy:  44.2% 
Optimization Iteration:   2151, Training Accuracy:  93.4%, Validation Accuracy:  41.8% 
Optimization Iteration:   2161, Training Accuracy:  94.1%, Validation Accuracy:  45.6% 
Optimization Iteration:   2171, Training Accuracy:  96.5%, Validation Accuracy:  45.2% 
Optimization Iteration:   2181, Training Accuracy:  96.9%, Validation Accuracy:  45.8% 
Optimization Iteration:   2191, Training Accuracy:  94.9%, Validation Accuracy:  44.6% 
Optimization Iteration:   2201, Training Accuracy:  92.6%, Validation Accuracy:  46.0% 
Optimization Iteration:   2211, Training Accuracy:  95.3%, Validation Accuracy:  46.0% 
Optimization Iteration:   2221, Training Accuracy:  96.9%, Validation Accuracy:  46.0% 
Optimization Iteration:   2231, Training Accuracy:  94.9%, Validation Accuracy:  41.0% 
Optimization Iteration:   2241, Training Accuracy:  95.3%, Validation Accuracy:  43.0% 
Optimization Iteration:   2251, Training Accuracy:  96.9%, Validation Accuracy:  48.6% 
Optimization Iteration:   2261, Training Accuracy:  95.7%, Validation Accuracy:  45.8% 
Optimization Iteration:   2271, Training Accuracy:  94.9%, Validation Accuracy:  41.2% 
Optimization Iteration:   2281, Training Accuracy:  97.3%, Validation Accuracy:  46.2% 
Optimization Iteration:   2291, Training Accuracy:  94.9%, Validation Accuracy:  47.4% 
Optimization Iteration:   2301, Training Accuracy:  95.7%, Validation Accuracy:  47.0% 
Optimization Iteration:   2311, Training Accuracy:  94.9%, Validation Accuracy:  45.0% 
Optimization Iteration:   2321, Training Accuracy:  97.3%, Validation Accuracy:  45.6% 
Optimization Iteration:   2331, Training Accuracy:  93.4%, Validation Accuracy:  45.2% 
Optimization Iteration:   2341, Training Accuracy:  93.8%, Validation Accuracy:  43.0% 
Optimization Iteration:   2351, Training Accuracy:  91.8%, Validation Accuracy:  46.0% 
Optimization Iteration:   2361, Training Accuracy:  92.2%, Validation Accuracy:  44.0% 
Optimization Iteration:   2371, Training Accuracy:  96.1%, Validation Accuracy:  47.6% 
Optimization Iteration:   2381, Training Accuracy:  95.3%, Validation Accuracy:  45.6% 
Optimization Iteration:   2391, Training Accuracy:  92.6%, Validation Accuracy:  45.2% 
Optimization Iteration:   2401, Training Accuracy:  95.7%, Validation Accuracy:  47.4% 
Optimization Iteration:   2411, Training Accuracy:  91.8%, Validation Accuracy:  42.4% 
Optimization Iteration:   2421, Training Accuracy:  96.5%, Validation Accuracy:  44.8% 
Optimization Iteration:   2431, Training Accuracy:  94.5%, Validation Accuracy:  45.6% 
Optimization Iteration:   2441, Training Accuracy:  91.0%, Validation Accuracy:  41.0% 
Optimization Iteration:   2451, Training Accuracy:  95.3%, Validation Accuracy:  45.2% 
Optimization Iteration:   2461, Training Accuracy:  93.0%, Validation Accuracy:  45.6% 
Optimization Iteration:   2471, Training Accuracy:  98.0%, Validation Accuracy:  44.0% 
Optimization Iteration:   2481, Training Accuracy:  93.4%, Validation Accuracy:  47.4% 
Optimization Iteration:   2491, Training Accuracy:  94.9%, Validation Accuracy:  46.6% 
Optimization Iteration:   2501, Training Accuracy:  93.8%, Validation Accuracy:  44.8% 
Optimization Iteration:   2511, Training Accuracy:  93.4%, Validation Accuracy:  45.2% 
Optimization Iteration:   2521, Training Accuracy:  96.1%, Validation Accuracy:  45.8% 
Optimization Iteration:   2531, Training Accuracy:  96.5%, Validation Accuracy:  46.0% 
Optimization Iteration:   2541, Training Accuracy:  93.0%, Validation Accuracy:  46.0% 
Optimization Iteration:   2551, Training Accuracy:  97.7%, Validation Accuracy:  46.6% 
Optimization Iteration:   2561, Training Accuracy:  98.0%, Validation Accuracy:  46.2% 
Optimization Iteration:   2571, Training Accuracy:  96.9%, Validation Accuracy:  43.6% 
